State,DestinationState,Visitors
Sarawak,Negeri Sembilan,8098
Sarawak,Pahang,12647
Sarawak,Penang,41880
Sarawak,Perak,5561
Sarawak,Perlis,13178
Sarawak,Selangor,211808
Sarawak,Terengganu,22411
Sarawak,Sabah,247465
Sarawak,Sarawak,4055785
Sarawak,Kuala Lumpur,245981
Sarawak,Labuan,27314
Sarawak,Putrajaya,30921
Kuala Lumpur,Johor,1689695
Kuala Lumpur,Kedah,624876
Kuala Lumpur,Kelantan,1289447
Kuala Lumpur,Melaka,1520438
Kuala Lumpur,Negeri Sembilan,1815293
Kuala Lumpur,Pahang,2485925
Kuala Lumpur,Penang,1088185
Kuala Lumpur,Perak,1881571
Kuala Lumpur,Perlis,97851
Kuala Lumpur,Selangor,1026360
Kuala Lumpur,Terengganu,954478
Kuala Lumpur,Sabah,105983
Kuala Lumpur,Sarawak,304533
Kuala Lumpur,Kuala Lumpur,338113
Kuala Lumpur,Labuan,3966
Kuala Lumpur,Putrajaya,6806
Labuan,Johor,87
Labuan,Kedah,1830
Labuan,Kelantan,1902
Labuan,Melaka,161
Labuan,Negeri Sembilan,1308
Labuan,Pahang,20987
Labuan,Penang,498
Labuan,Perak,1164
Labuan,Perlis,642
Labuan,Selangor,3530
Labuan,Terengganu,1782
Labuan,Sabah,151349
Labuan,Sarawak,16186
Labuan,Kuala Lumpur,13709
Labuan,Labuan,15209
Labuan,Putrajaya,7907
Putrajaya,Johor,28391
Putrajaya,Kedah,26077
Putrajaya,Kelantan,52129
Putrajaya,Melaka,80822
Putrajaya,Negeri Sembilan,73059
Putrajaya,Pahang,44218
Putrajaya,Penang,25344
Putrajaya,Perak,76048
Putrajaya,Perlis,1354
Putrajaya,Selangor,55887
Putrajaya,Terengganu,28708
Putrajaya,Sabah,3430
Putrajaya,Sarawak,15321
Putrajaya,Kuala Lumpur,13175
Putrajaya,Labuan,1615
Putrajaya,Putrajaya,14351
